Organismo Fuente,Especie,Frecuencia
mitochondrion Dichomeris occidentella,Dichomeris occidentella,5
mitochondrion Dichomeris merceae,Dichomeris merceae,1
mitochondrion Selvasaura sp,Selvasaura sp.,1
Cortinarius caninus,Cortinarius caninus,1
Cortinarius sp. DSG-2023a,Cortinarius sp. DSG-2023a,2
Homo sapiens (human),Homo sapiens,1
Rattus rattus (black rat),Rattus rattus,1
Zea mays,Zea mays,1
Glycine max (soybean),Glycine max,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Carica papaya (papaya),Carica papaya,1
Todarodes pacificus (Japanese flying squid),Todarodes pacificus,1
Onchocerca volvulus,Onchocerca volvulus,1
Mus musculus domesticus (western European house mouse),Mus musculus domesticus,1
Homo sapiens (human),Homo sapiens,1
Homo sapiens (human),Homo sapiens,1
Gallus gallus (chicken),Gallus gallus,1
Chlamys islandica,Chlamys islandica,1
Arabidopsis thaliana (thale cress),Arabidopsis thaliana,1
Triticum aestivum (bread wheat),Triticum aestivum,1
Arabidopsis thaliana (thale cress),Arabidopsis thaliana,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Alopecurus myosuroides,Alopecurus myosuroides,1
Glycine max (soybean),Glycine max,1
Proteus mirabilis,Proteus mirabilis,1
Dimocarpus longan,Dimocarpus longan,1
Calotropis procera,Calotropis procera,1
Nicotiana benthamiana,Nicotiana benthamiana,1
Lolium rigidum,Lolium rigidum,1
Suaeda maritima,Suaeda maritima,1
Taiwanofungus camphoratus,Taiwanofungus camphoratus,1
Anopheles cracens,Anopheles cracens,1
Platynota idaeusalis,Platynota idaeusalis,1
Clonorchis sinensis,Clonorchis sinensis,1
Alternaria brassicicola,Alternaria brassicicola,1
Penicillium chrysogenum,Penicillium chrysogenum,1
Clonorchis sinensis,Clonorchis sinensis,1
Penicillium malachiteum,Penicillium malachiteum,1
Penicillium odoratum,Penicillium odoratum,1
Penicillium malachiteum,Penicillium malachiteum,1
Penicillium verhagenii,Penicillium verhagenii,1
Penicillium concentricum,Penicillium concentricum,1
Penicillium alfredii,Penicillium alfredii,1
Malassezia vespertilionis,Malassezia vespertilionis,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Caenorhabditis elegans,Caenorhabditis elegans,1
Zostera marina,Zostera marina,1
Aspergillus affinis,Aspergillus affinis,1
Aspergillus affinis,Aspergillus affinis,1
Fimicolochytrium jonesii,Fimicolochytrium jonesii,1
Durotheca rogersii,Durotheca rogersii,1
Hypoxylon trugodes,Hypoxylon trugodes,1
Enterobacter hormaechei subsp. xiangfangensis (Enterobacter xiangfangensis),Enterobacter hormaechei subsp. xiangfangensis,1
Hypoxylon fragiforme,Hypoxylon fragiforme,1
Daldinia loculata,Daldinia loculata,1
Annulohypoxylon truncatum,Annulohypoxylon truncatum,1
Daldinia vernicosa,Daldinia vernicosa,1
Neoantrodia serialis,Neoantrodia serialis,1
Epithele typhae,Epithele typhae,1
Rhodofomes roseus,Rhodofomes roseus,1
Epithele typhae,Epithele typhae,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Daldinia caldariorum,Daldinia caldariorum,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Purpureocillium takamizusanense,Purpureocillium takamizusanense,1
Coccidioides immitis RS,Coccidioides immitis RS,1
Coccidioides immitis RS,Coccidioides immitis RS,1
Histoplasma capsulatum G186AR (Ajellomyces capsulatus G186AR),Histoplasma capsulatum G186AR,1
Histoplasma capsulatum G186AR (Ajellomyces capsulatus G186AR),Histoplasma capsulatum G186AR,1
Blastomyces dermatitidis ER-3 (Ajellomyces dermatitidis ER-3),Blastomyces dermatitidis ER-3,1
Blastomyces dermatitidis ER-3 (Ajellomyces dermatitidis ER-3),Blastomyces dermatitidis ER-3,1
Trametes versicolor FP-101664 SS1,Trametes versicolor FP-101664 SS1,1
Lentinula edodes (shiitake mushroom),Lentinula edodes,1
Colletotrichum karsti,Colletotrichum karsti,1
Colletotrichum truncatum,Colletotrichum truncatum,1
Alternaria rosae,Alternaria rosae,1
Boeremia exigua,Boeremia exigua,1
Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,1
Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1,1
Aureobasidium melanogenum CBS 110374,Aureobasidium melanogenum CBS 110374,1
Cucurbitaria berberidis CBS 394.84,Cucurbitaria berberidis CBS 394.84,1
Cucurbitaria berberidis CBS 394.84,Cucurbitaria berberidis CBS 394.84,1
Aspergillus fijiensis CBS 313.89,Aspergillus fijiensis CBS 313.89,1
Laetiporus sulphureus 93-53,Laetiporus sulphureus 93-53,1
